policy_id,customer_id,policy_type,base_policy,deductible,annual_premium_eur,policy_start_date,policy_end_date,past_number_of_claims,number_of_cars
POL_00189,CUS_06245,Utility - All Perils,All Perils,500,358.39,2024-11-25,2025-11-25,2,6
POL_00191,CUS_04446,Utility - Liability,Liability,500,332.21,2019-11-13,2020-11-12,none,8
POL_00192,CUS_05990,Utility - All Perils,All Perils,500,272.63,2019-10-06,2020-10-05,none,4
POL_00193,CUS_06853,Sport - All Perils,All Perils,700,730.55,2024-09-21,2025-09-21,1,1
POL_00194,CUS_05362,Sport - Liability,Liability,400,629.74,2024-12-04,2025-12-04,2,1
POL_00196,CUS_00297,Sport - All Perils,All Perils,500,447.89,2020-06-23,2021-06-23,1,1
POL_00197,CUS_05181,Sedan - Collision,Collision,400,572.64,2018-10-15,2019-10-15,none,1
POL_00198,CUS_04358,Sport - Collision,Collision,300,365.76,2020-09-10,2021-09-10,2,4
POL_00199,CUS_02788,Sedan - Collision,Collision,400,1222.11,2024-02-14,2025-02-13,2,8
POL_00200,CUS_04223,Sedan - Collision,Collision,400,735.75,2020-07-16,2021-07-16,1,6
POL_00201,CUS_01927,Sedan - All Perils,All Perils,300,752.7,2022-03-30,2023-03-30,2,7
POL_00202,CUS_03384,Sedan - All Perils,All Perils,500,1071.47,2023-04-10,2024-04-09,1,7
POL_00203,CUS_06969,Sedan - All Perils,All Perils,500,1407.51,2024-11-23,2025-11-23,2,7
POL_00204,CUS_05420,Utility - Liability,Liability,300,863.02,2021-08-12,2022-08-12,more than 4,3
POL_00207,CUS_05153,Sport - Collision,Collision,500,710.89,2020-07-12,2021-07-12,1,1
POL_00208,CUS_02042,Sedan - All Perils,All Perils,500,506.73,2019-05-17,2020-05-16,4,5
POL_00209,CUS_04531,Sport - All Perils,All Perils,400,550.81,2020-08-14,2021-08-14,none,3
POL_00211,CUS_00636,Sport - Liability,Liability,500,805.78,2022-03-07,2023-03-07,2,7
POL_00213,CUS_06479,Utility - All Perils,All Perils,300,826.52,2022-03-25,2023-03-25,1,5
POL_00214,CUS_03150,Sport - Liability,Liability,400,496.25,2020-01-17,2021-01-16,1,6
POL_00215,CUS_01391,Utility - Collision,Collision,500,665.36,2020-03-06,2021-03-06,4,1
POL_00216,CUS_03538,Sport - All Perils,All Perils,700,490.13,2020-04-02,2021-04-02,none,6
POL_00217,CUS_00152,Utility - All Perils,All Perils,400,612.75,2022-03-06,2023-03-06,more than 4,8
POL_00218,CUS_06126,Sport - Liability,Liability,500,728.4,2019-04-07,2020-04-06,2,1
POL_00219,CUS_06724,Sport - Collision,Collision,400,533.37,2020-06-20,2021-06-20,more than 4,4
POL_00220,CUS_01769,Sport - All Perils,All Perils,500,643.1,2022-07-11,2023-07-11,2,6
POL_00221,CUS_06167,Utility - Collision,Collision,500,1106.57,2021-08-30,2022-08-30,3,2
POL_00222,CUS_01580,Sedan - All Perils,All Perils,400,1902.75,2018-08-09,2019-08-09,2,6
POL_00223,CUS_00322,Sedan - Collision,Collision,500,572.83,2024-03-13,2025-03-13,2,6
POL_00224,CUS_02345,Sport - Collision,Collision,400,1124.05,2022-02-24,2023-02-24,none,6
POL_00225,CUS_01736,Utility - Liability,Liability,300,1492.18,2021-08-26,2022-08-26,1,3
POL_00226,CUS_06130,Sedan - Liability,Liability,400,515.67,2020-03-27,2021-03-27,3,7
POL_00227,CUS_00493,Utility - Collision,Collision,400,2306.25,2022-07-02,2023-07-02,2,7
POL_00228,CUS_05995,Sedan - Collision,Collision,700,417.83,2018-11-18,2019-11-18,2,6
POL_00229,CUS_05603,Utility - All Perils,All Perils,300,759.09,2024-08-12,2025-08-12,1,8
POL_00231,CUS_01796,Sport - Liability,Liability,700,1070.89,2019-12-02,2020-12-01,more than 4,8
POL_00232,CUS_05704,Sport - Liability,Liability,700,708.49,2020-03-03,2021-03-03,none,5
POL_00234,CUS_06523,Sport - Liability,Liability,500,331.52,2024-02-28,2025-02-27,1,2
POL_00235,CUS_00939,Sport - Liability,Liability,700,568.79,2022-02-13,2023-02-13,4,3
POL_00236,CUS_03380,Utility - Collision,Collision,700,985.82,2020-11-25,2021-11-25,1,4
POL_00237,CUS_02890,Sport - Collision,Collision,700,476.52,2024-02-26,2025-02-25,1,1
POL_00239,CUS_01621,Utility - All Perils,All Perils,300,556.43,2018-11-26,2019-11-26,1,7
POL_00241,CUS_06198,Sport - Liability,Liability,500,1044.69,2022-05-28,2023-05-28,1,2
POL_00242,CUS_00641,Sedan - Liability,Liability,300,631.83,2022-09-23,2023-09-23,2,1
POL_00243,CUS_02584,Utility - Collision,Collision,700,673.2,2020-12-11,2021-12-11,none,2
POL_00244,CUS_02798,Sedan - Liability,Liability,300,1141.58,2020-03-16,2021-03-16,2,5
POL_00245,CUS_03607,Sport - All Perils,All Perils,400,285.36,2025-04-27,2026-04-27,none,5
POL_00246,CUS_06641,Sport - Collision,Collision,500,767.02,2020-03-19,2021-03-19,1,7
POL_00248,CUS_06343,Sport - Liability,Liability,500,368.23,2019-02-03,2020-02-03,more than 4,8
POL_00249,CUS_04250,Sport - All Perils,All Perils,400,869.31,2020-12-12,2021-12-12,2,3
POL_00250,CUS_04541,Utility - All Perils,All Perils,400,490.67,2024-10-21,2025-10-21,2,8
POL_00251,CUS_05607,Sedan - Collision,Collision,500,1071.25,2024-03-25,2025-03-25,none,4
POL_00253,CUS_02095,Utility - Collision,Collision,400,556.43,2022-11-15,2023-11-15,1,4
POL_00254,CUS_02139,Sedan - Collision,Collision,400,1187.97,2024-09-16,2025-09-16,1,3
POL_00255,CUS_00643,Sedan - Collision,Collision,700,343.88,2023-03-31,2024-03-30,none,2
POL_00257,CUS_04908,Sport - Liability,Liability,300,572.28,2020-11-13,2021-11-13,none,2
POL_00258,CUS_01456,Sport - All Perils,All Perils,300,543.7,2018-09-30,2019-09-30,none,2
POL_00259,CUS_04339,Sedan - Liability,Liability,300,603.09,2024-09-15,2025-09-15,1,1
POL_00260,CUS_04077,Utility - All Perils,All Perils,300,1102.82,2024-12-16,2025-12-16,1,8
POL_00261,CUS_03207,Utility - All Perils,All Perils,400,497.82,2022-11-30,2023-11-30,none,1
POL_00262,CUS_02059,Utility - Collision,Collision,700,398.14,2020-05-04,2021-05-04,3,7
POL_00264,CUS_06976,Utility - Collision,Collision,400,700.74,2019-05-18,2020-05-17,1,7
POL_00265,CUS_01387,Utility - Collision,Collision,700,695.52,2022-10-03,2023-10-03,none,7
POL_00266,CUS_05304,Sport - Liability,Liability,400,481.92,2019-03-20,2020-03-19,1,5
POL_00267,CUS_04368,Sport - All Perils,All Perils,400,1020.84,2020-10-11,2021-10-11,2,7
POL_00268,CUS_05974,Sport - Liability,Liability,500,795.85,2021-12-04,2022-12-04,3,7
POL_00269,CUS_01637,Sport - Collision,Collision,400,581.45,2021-07-16,2022-07-16,1,4
POL_00270,CUS_01075,Utility - All Perils,All Perils,300,258.86,2023-10-25,2024-10-24,1,3
POL_00271,CUS_03274,Utility - All Perils,All Perils,500,647.19,2024-01-11,2025-01-10,1,4
POL_00272,CUS_01743,Sport - All Perils,All Perils,400,603.86,2020-02-11,2021-02-10,4,4
POL_00273,CUS_02484,Sedan - Liability,Liability,500,620.82,2022-11-25,2023-11-25,none,2
POL_00274,CUS_00346,Sport - Liability,Liability,400,454.11,2022-12-04,2023-12-04,3,7
POL_00275,CUS_01289,Utility - All Perils,All Perils,500,475.91,2022-01-10,2023-01-10,2,8
POL_00276,CUS_06864,Sport - Collision,Collision,500,723.11,2020-05-24,2021-05-24,none,6
POL_00277,CUS_05602,Sport - Collision,Collision,700,615.25,2023-04-06,2024-04-05,none,7
POL_00279,CUS_04899,Sedan - All Perils,All Perils,400,641.77,2022-05-27,2023-05-27,2,3
POL_00281,CUS_05789,Utility - Liability,Liability,700,1062.16,2018-09-28,2019-09-28,3,2
POL_00282,CUS_06195,Sport - Collision,Collision,300,701.11,2020-10-23,2021-10-23,more than 4,8
POL_00283,CUS_02269,Sedan - Liability,Liability,400,844.31,2021-01-28,2022-01-28,none,5
POL_00285,CUS_06380,Utility - Liability,Liability,400,471.05,2021-06-07,2022-06-07,3,3
POL_00286,CUS_01518,Sedan - Collision,Collision,400,637.67,2024-11-30,2025-11-30,none,2
POL_00288,CUS_00427,Utility - All Perils,All Perils,700,706.45,2021-11-22,2022-11-22,more than 4,8
POL_00289,CUS_06881,Sport - Liability,Liability,700,478.64,2024-05-14,2025-05-14,3,1
POL_00290,CUS_01099,Sedan - All Perils,All Perils,400,1263.07,2020-06-13,2021-06-13,none,4
POL_00291,CUS_05886,Sport - All Perils,All Perils,300,126.57,2021-03-02,2022-03-02,more than 4,4
POL_00292,CUS_00158,Sport - All Perils,All Perils,500,425.95,2019-01-31,2020-01-31,none,1
POL_00293,CUS_04811,Sedan - Liability,Liability,500,763.35,2020-11-19,2021-11-19,none,6
POL_00294,CUS_05453,Sport - Liability,Liability,400,456.63,2020-10-27,2021-10-27,2,8
POL_00296,CUS_02655,Sedan - All Perils,All Perils,300,562.03,2025-02-28,2026-02-28,none,2
POL_00298,CUS_01364,Sedan - Collision,Collision,400,625.81,2019-10-31,2020-10-30,3,1
POL_00299,CUS_02705,Utility - Collision,Collision,700,1208.83,2022-09-21,2023-09-21,none,3
POL_00300,CUS_03910,Sport - Liability,Liability,400,465.39,2021-07-13,2022-07-13,2,7
POL_00301,CUS_01025,Sedan - Collision,Collision,400,356.42,2022-04-07,2023-04-07,none,1
POL_00302,CUS_03093,Utility - Collision,Collision,400,1531.82,2021-10-15,2022-10-15,4,5
POL_00303,CUS_03751,Utility - Liability,Liability,400,500.12,2018-09-06,2019-09-06,1,4
POL_00304,CUS_06339,Sedan - Liability,Liability,500,512.74,2021-05-28,2022-05-28,2,8
POL_00306,CUS_02330,Sedan - Collision,Collision,400,344.65,2023-09-01,2024-08-31,none,1
POL_00307,CUS_04001,Sedan - Collision,Collision,300,913.2,2018-12-03,2019-12-03,3,3
POL_00308,CUS_01891,Sport - Liability,Liability,400,1605.8,2022-03-08,2023-03-08,1,7
POL_00309,CUS_01113,Utility - Collision,Collision,700,887.65,2020-04-28,2021-04-28,1,2
POL_00310,CUS_03949,Sedan - Collision,Collision,500,444.81,2022-09-12,2023-09-12,3,4
POL_00311,CUS_07026,Sport - All Perils,All Perils,700,632.75,2018-12-06,2019-12-06,1,5
POL_00312,CUS_03853,Sport - Collision,Collision,500,632.37,2021-11-10,2022-11-10,1,8
POL_00313,CUS_02755,Utility - Liability,Liability,300,379.91,2019-04-09,2020-04-08,2,4
POL_00315,CUS_02902,Sedan - Liability,Liability,500,554.94,2024-06-16,2025-06-16,3,8
POL_00316,CUS_04420,Sport - All Perils,All Perils,500,631.95,2024-09-26,2025-09-26,1,6
POL_00317,CUS_03379,Sport - All Perils,All Perils,400,515.48,2025-02-05,2026-02-05,3,1
POL_00319,CUS_06276,Sport - Collision,Collision,500,1453.36,2024-05-28,2025-05-28,none,5
POL_00320,CUS_05296,Sedan - Liability,Liability,400,566.49,2021-05-13,2022-05-13,3,1
POL_00322,CUS_06216,Utility - Collision,Collision,500,263.81,2024-04-13,2025-04-13,none,8
POL_00323,CUS_06326,Sport - Liability,Liability,400,609.71,2024-05-25,2025-05-25,3,3
POL_00324,CUS_02727,Sedan - Liability,Liability,400,335.04,2020-02-29,2021-02-28,none,6
POL_00325,CUS_05849,Sport - Collision,Collision,300,236.18,2019-09-26,2020-09-25,2,7
POL_00326,CUS_02229,Utility - Liability,Liability,700,242.57,2022-08-12,2023-08-12,none,1
POL_00328,CUS_02076,Sedan - All Perils,All Perils,400,614.52,2018-12-15,2019-12-15,3,2
POL_00329,CUS_00073,Sedan - Collision,Collision,500,138.78,2022-05-27,2023-05-27,none,1
POL_00330,CUS_04568,Sedan - Collision,Collision,700,247.46,2019-07-08,2020-07-07,more than 4,2
POL_00331,CUS_03760,Sedan - Liability,Liability,400,271.56,2022-10-13,2023-10-13,none,2
POL_00332,CUS_01017,Utility - Liability,Liability,400,923.01,2021-10-28,2022-10-28,3,8
POL_00333,CUS_01884,Sedan - Liability,Liability,500,441.85,2021-01-03,2022-01-03,2,2
POL_00335,CUS_00762,Utility - All Perils,All Perils,400,464.84,2021-10-06,2022-10-06,none,3
POL_00336,CUS_01869,Sedan - All Perils,All Perils,300,333.93,2018-12-01,2019-12-01,none,7
POL_00337,CUS_06307,Utility - All Perils,All Perils,400,717.12,2023-11-27,2024-11-26,3,8
POL_00338,CUS_05260,Utility - Liability,Liability,400,427.22,2021-07-12,2022-07-12,3,5
POL_00339,CUS_01642,Sedan - Liability,Liability,500,1073.7,2021-07-03,2022-07-03,none,4
POL_00340,CUS_00324,Sport - Collision,Collision,500,432.3,2021-07-21,2022-07-21,1,5
POL_00341,CUS_06035,Sport - Collision,Collision,500,909.83,2018-11-28,2019-11-28,none,6
POL_00343,CUS_05646,Utility - Collision,Collision,400,439.5,2023-09-29,2024-09-28,none,2
POL_00344,CUS_00267,Sedan - Liability,Liability,400,676.45,2021-04-02,2022-04-02,more than 4,8
POL_00345,CUS_01294,Sedan - Liability,Liability,300,708.47,2024-05-20,2025-05-20,3,1
