claim_id,policy_id,customer_id,vehicle_id,agent_id,accident_datetime,claim_datetime,fault,accident_area,accident_description,accident_latitude,accident_longitude,police_report_filed,witness_present,number_of_supplements,claimed_amount_eur,repair_workshop
CLM_00024,POL_04191,CUS_06324,VEH_02326,AGT_00121,2023-12-06 08:32:00,2024-01-14 09:32:00,Third Party,Rural,rear-end collision,36.693493,-5.203152,Yes,No,3,7677.18,Carrocerías Martínez - Bilbao
CLM_00025,POL_04747,CUS_00410,VEH_03456,AGT_00061,2023-05-03 00:37:00,2023-06-15 10:37:00,Third Party,Urban,rear-end collision,42.059894,-3.05431,No,No,4,662.51,Taller Vázquez - Elche
CLM_00026,POL_01390,CUS_00874,VEH_01582,AGT_00096,2023-11-08 20:19:00,2023-12-12 22:19:00,Policy Holder,Urban,bicycle involved,36.955658,-8.076267,No,No,5,3677.6,Taller Ramírez - Valencia
CLM_00027,POL_01147,CUS_00573,VEH_06824,AGT_00047,2023-03-29 13:14:00,2023-03-30 00:14:00,Policy Holder,Parking,parking damage,37.188675,-1.191603,Yes,Yes,0,1891.29,Garage Molina - Gijón
CLM_00028,POL_07961,CUS_00643,VEH_02586,AGT_00167,2023-03-19 01:20:00,2023-04-28 07:20:00,Third Party,Rural,single vehicle accident,40.68926,2.275168,Yes,Yes,7,6856.27,Reparaciones Medina - Alicante
CLM_00029,POL_03894,CUS_01431,VEH_00601,AGT_00096,2025-04-29 13:43:00,2025-05-12 23:43:00,Policy Holder,Rural,multi-vehicle pileup,38.58188,-8.633081,Yes,No,6,3883.97,Garage González - Málaga
CLM_00030,POL_00717,CUS_03398,VEH_01244,AGT_00033,2022-08-06 17:04:00,2022-08-11 14:04:00,Policy Holder,Rural,frontal collision,38.293559,-5.746523,Yes,Yes,6,1285.33,Carrocerías Ortega - Gijón
CLM_00031,POL_07448,CUS_01364,VEH_04108,AGT_00145,2024-12-30 05:11:00,2025-01-21 10:11:00,Third Party,Rural,side impact,38.827659,-0.623574,Yes,No,0,4110.7,Chapa y Pintura Rivera - Sevilla
CLM_00032,POL_05956,CUS_01532,VEH_06165,AGT_00077,2025-03-07 17:34:00,2025-03-18 14:34:00,Policy Holder,Urban,hit and run,43.326442,-2.93401,Yes,Yes,5,584.24,Reparaciones González - Vitoria
CLM_00033,POL_05511,CUS_00896,VEH_06721,AGT_00005,2023-08-19 07:25:00,2023-09-12 12:25:00,Policy Holder,Suburban,rollover,41.462369,-3.943046,Yes,No,6,4208.94,Mecánica Serrano - Las Palmas
CLM_00034,POL_03995,CUS_06875,VEH_01656,AGT_00120,2024-03-01 11:18:00,2024-04-10 08:18:00,Third Party,Suburban,hit and run,37.303396,-1.49027,Yes,Yes,5,1565.43,Carrocerías Sánchez - Alicante
CLM_00035,POL_07426,CUS_02416,VEH_00777,AGT_00133,2022-02-02 21:50:00,2022-02-07 14:50:00,Policy Holder,Rural,bicycle involved,36.041037,-3.721439,Yes,No,0,5168.18,Garage Iglesias - Madrid
CLM_00037,POL_00099,CUS_03557,VEH_01364,AGT_00033,2024-01-25 23:37:00,2024-02-13 08:37:00,Policy Holder,Urban,falling object,39.245694,-2.206072,Yes,Yes,2,153.0,Taller Hernández - Barcelona
CLM_00038,POL_04617,CUS_00181,VEH_06719,AGT_00010,2025-04-08 08:06:00,2025-04-18 00:06:00,Policy Holder,Urban,multi-vehicle pileup,41.467844,-0.159993,Yes,Yes,4,1918.45,Taller Marín - Sevilla
CLM_00040,POL_08458,CUS_00702,VEH_04811,AGT_00079,2025-10-21 02:14:00,2025-11-25 19:14:00,Policy Holder,Urban,single vehicle accident,39.386152,-1.018085,Yes,Yes,1,449.39,Garage López - Málaga
CLM_00042,POL_03116,CUS_01111,VEH_00937,AGT_00118,2025-06-03 22:01:00,2025-06-08 06:01:00,Policy Holder,Suburban,falling object,41.266584,2.226573,No,No,6,3812.86,Chapa y Pintura Ruiz - Málaga
CLM_00043,POL_03389,CUS_06825,VEH_07773,AGT_00097,2023-10-23 03:52:00,2023-11-06 13:52:00,Policy Holder,Rural,animal collision,39.011251,-1.077324,Yes,No,6,739.18,Auto Castro - Hospitalet
CLM_00044,POL_03378,CUS_00140,VEH_02635,AGT_00141,2024-11-09 06:59:00,2024-11-22 08:59:00,Third Party,Urban,multi-vehicle pileup,42.846214,-7.487397,Yes,No,4,1875.79,Chapa y Pintura Ramírez - Bilbao
CLM_00047,POL_01024,CUS_00440,VEH_00573,AGT_00020,2023-03-24 01:35:00,2023-03-29 00:35:00,Policy Holder,Rural,pedestrian involved,40.510024,-3.197375,Unknown,No,5,1160.16,Auto Suárez - Barcelona
CLM_00048,POL_02755,CUS_02476,VEH_05619,AGT_00160,2024-05-13 05:00:00,2024-06-17 20:00:00,Third Party,Highway,side impact,38.845426,-2.298593,No,No,6,374.96,Carrocerías Marín - Valencia
CLM_00050,POL_06660,CUS_01092,VEH_07580,AGT_00085,2022-08-10 07:59:00,2022-09-16 11:59:00,Third Party,Urban,glass breakage,42.464295,-7.806718,No,No,1,4051.96,Reparaciones Ramírez - Madrid
CLM_00051,POL_02483,CUS_04376,VEH_06186,AGT_00051,2022-08-21 20:02:00,2022-10-04 18:02:00,Third Party,Suburban,rollover,39.109841,-1.222172,No,No,1,264.97,Carrocerías Gómez - Valencia
CLM_00052,POL_07386,CUS_05661,VEH_00697,AGT_00073,2024-05-07 16:39:00,2024-06-02 16:39:00,Policy Holder,Urban,frontal collision,42.197234,-8.780877,Yes,No,0,2484.06,Carrocerías López - Vitoria
CLM_00053,POL_07213,CUS_05882,VEH_01132,AGT_00093,2023-09-05 05:42:00,2023-09-08 06:42:00,Third Party,Rural,frontal collision,36.894818,-8.620175,Yes,No,3,4473.11,Mecánica Núñez - Valladolid
CLM_00054,POL_08627,CUS_04354,VEH_03258,AGT_00145,2024-04-13 06:00:00,2024-05-06 09:00:00,Policy Holder,Urban,fire damage,41.117503,-8.549319,No,No,1,2685.65,Reparaciones Núñez - Zaragoza
CLM_00056,POL_01119,CUS_02297,VEH_00866,AGT_00178,2022-07-08 22:07:00,2022-07-18 14:07:00,Policy Holder,Highway,side impact,40.240989,-0.820057,Unknown,No,1,1015.83,Garage Martínez - Madrid
CLM_00057,POL_01265,CUS_05489,VEH_05998,AGT_00125,2022-09-17 09:37:00,2022-10-02 15:37:00,Policy Holder,Highway,falling object,36.651268,-7.653174,No,No,4,312.31,Chapa y Pintura Suárez - Coruña
CLM_00059,POL_08878,CUS_00481,VEH_03941,AGT_00009,2023-04-12 19:12:00,2023-05-13 18:12:00,Policy Holder,Urban,side impact,36.7628,-8.823859,No,No,2,984.77,Chapa y Pintura Ruiz - Málaga
CLM_00060,POL_06004,CUS_06532,VEH_06088,AGT_00002,2023-02-21 16:03:00,2023-02-26 00:03:00,Policy Holder,Rural,bicycle involved,38.38044,-7.482627,No,No,2,193.52,Reparaciones Rodríguez - Palma
CLM_00061,POL_06710,CUS_01903,VEH_06505,AGT_00175,2024-11-19 20:46:00,2024-12-08 16:46:00,Third Party,Suburban,single vehicle accident,36.045821,-7.537478,Yes,No,4,5298.55,Auto Morales - Vitoria
CLM_00062,POL_00840,CUS_06467,VEH_05724,AGT_00144,2025-02-17 16:42:00,2025-03-19 12:42:00,Policy Holder,Urban,flooding damage,36.370476,-9.03361,No,No,5,772.46,Garage Iglesias - Gijón
CLM_00063,POL_04125,CUS_00517,VEH_04106,AGT_00074,2022-07-28 03:56:00,2022-08-01 16:56:00,Policy Holder,Suburban,multi-vehicle pileup,37.348163,-3.159439,Yes,No,4,852.47,Carrocerías Sánchez - Alicante
CLM_00064,POL_07227,CUS_05955,VEH_02358,AGT_00178,2022-08-15 12:02:00,2022-09-03 07:02:00,Policy Holder,Urban,multi-vehicle pileup,40.087451,-4.494359,Yes,No,7,3896.26,Carrocerías Ramírez - Vitoria
CLM_00065,POL_06685,CUS_04716,VEH_00265,AGT_00064,2024-02-22 15:52:00,2024-04-06 06:52:00,Third Party,Rural,theft attempt,39.528345,-8.845059,No,Yes,1,1553.23,Auto Morales - Vitoria
CLM_00066,POL_06508,CUS_01333,VEH_01013,AGT_00029,2024-03-09 07:05:00,2024-03-21 20:05:00,Third Party,Urban,side impact,39.900121,-4.674933,No,No,6,860.13,Chapa y Pintura Hernández - Gijón
CLM_00067,POL_06870,CUS_01235,VEH_01230,AGT_00143,2025-05-11 16:14:00,2025-05-27 20:14:00,Third Party,Parking,pothole damage,37.481882,-5.496957,No,Yes,3,1116.7,Mecánica Rodríguez - Coruña
CLM_00068,POL_04164,CUS_00179,VEH_01361,AGT_00159,2025-03-21 10:22:00,2025-03-27 13:22:00,Third Party,Parking,vandalism,36.39117,-4.976287,No,No,7,1132.54,Auto Rubio - Gijón
CLM_00069,POL_02497,CUS_00554,VEH_05303,AGT_00018,2025-07-29 21:39:00,2025-08-27 03:39:00,Policy Holder,Urban,rollover,41.007526,-7.551658,No,No,3,682.73,Carrocerías Iglesias - Elche
CLM_00070,POL_07314,CUS_06856,VEH_06553,AGT_00099,2024-07-28 15:27:00,2024-08-04 08:27:00,Policy Holder,Urban,rear-end collision,37.610461,1.951854,Yes,No,3,1484.96,Reparaciones Delgado - Barcelona
CLM_00073,POL_05034,CUS_04308,VEH_02601,AGT_00017,2022-06-06 05:12:00,2022-07-14 05:12:00,Third Party,Parking,flooding damage,40.279912,-4.190878,Yes,No,1,2442.45,Carrocerías Núñez - Madrid
CLM_00074,POL_00697,CUS_03542,VEH_00916,AGT_00113,2024-11-29 23:04:00,2024-12-17 14:04:00,Policy Holder,Highway,theft attempt,39.348159,2.520387,No,No,5,2054.69,Chapa y Pintura Marín - Coruña
CLM_00075,POL_01923,CUS_06713,VEH_08161,AGT_00147,2022-04-02 04:10:00,2022-04-25 08:10:00,Policy Holder,Urban,parking damage,40.508224,-6.624232,No,Unknown,6,685.36,Taller Álvarez - Zaragoza
CLM_00077,POL_09478,CUS_02410,VEH_01599,AGT_00062,2023-11-07 13:40:00,2023-12-10 03:40:00,Policy Holder,Highway,pothole damage,40.755193,0.161021,No,No,5,1231.45,Garage Martínez - Hospitalet
CLM_00079,POL_06373,CUS_06806,VEH_03114,AGT_00105,2023-10-31 12:17:00,2023-12-01 16:17:00,Policy Holder,Urban,parking damage,41.276723,-9.026922,Yes,Unknown,5,3044.06,Carrocerías Sánchez - Vitoria
CLM_00080,POL_02891,CUS_07050,VEH_01573,AGT_00063,2024-01-23 04:42:00,2024-02-16 01:42:00,Policy Holder,Urban,weather-related,37.466959,-6.677641,Yes,Unknown,2,2865.87,Carrocerías Díaz - Vigo
CLM_00081,POL_08149,CUS_02536,VEH_03107,AGT_00109,2022-10-23 00:01:00,2022-11-27 16:01:00,Policy Holder,Rural,animal collision,37.74424,-7.029925,Yes,No,5,1088.81,Taller Marín - Sevilla
CLM_00082,POL_02570,CUS_04615,VEH_01988,AGT_00115,2023-04-21 17:02:00,2023-05-18 08:02:00,Third Party,Rural,rear-end collision,41.201255,-0.608884,Yes,Yes,6,36423.35,Garage Flores - Gijón
CLM_00084,POL_01454,CUS_00277,VEH_08515,AGT_00136,2025-05-19 22:32:00,2025-05-25 23:32:00,Policy Holder,Parking,glass breakage,43.760891,-2.935176,Unknown,Yes,4,1068.28,Reparaciones Castillo - Valencia
CLM_00086,POL_00180,CUS_06571,VEH_05602,AGT_00003,2023-10-16 12:29:00,2023-11-09 19:29:00,Policy Holder,Highway,animal collision,41.932112,3.177614,No,No,1,3149.63,Carrocerías Serrano - Alicante
CLM_00087,POL_05236,CUS_02380,VEH_06808,AGT_00049,2023-12-01 18:28:00,2024-01-14 02:28:00,Third Party,Urban,animal collision,43.609985,3.217789,No,No,1,16009.84,Auto Romero - Hospitalet
CLM_00088,POL_07478,CUS_02333,VEH_04900,AGT_00095,2025-06-28 18:11:00,2025-08-09 19:11:00,Policy Holder,Parking,multi-vehicle pileup,41.17245,0.829345,Yes,Yes,7,3283.14,Taller Núñez - Elche
CLM_00089,POL_00651,CUS_04099,VEH_03688,AGT_00103,2025-04-13 21:38:00,2025-05-07 07:38:00,Third Party,Rural,weather-related,41.467884,-3.852157,No,Yes,4,5978.17,Carrocerías Martínez - Madrid
CLM_00090,POL_02975,CUS_03604,VEH_03468,AGT_00154,2025-06-16 14:43:00,2025-06-19 09:43:00,Policy Holder,Urban,mechanical failure,41.623176,-1.11352,No,Yes,0,1089.04,Carrocerías Castro - Gijón
CLM_00091,POL_05340,CUS_06178,VEH_06897,AGT_00042,2023-07-06 02:55:00,2023-08-19 01:55:00,Policy Holder,Highway,animal collision,41.106687,-7.233871,Yes,No,5,2198.78,Chapa y Pintura Domínguez - Elche
CLM_00092,POL_00948,CUS_06720,VEH_08363,AGT_00139,2024-02-04 07:38:00,2024-03-17 19:38:00,Policy Holder,Suburban,rear-end collision,43.721505,0.857284,Unknown,Unknown,1,1931.46,Reparaciones Ortiz - Bilbao
CLM_00095,POL_05868,CUS_04504,VEH_06517,AGT_00027,2023-02-08 05:45:00,2023-02-26 21:45:00,Policy Holder,Rural,theft attempt,36.234722,-3.755552,No,Yes,3,559.41,Garage Ruiz - Gijón
CLM_00096,POL_07167,CUS_05238,VEH_01700,AGT_00104,2024-07-29 09:33:00,2024-08-07 01:33:00,Policy Holder,Highway,single vehicle accident,38.64354,-0.263075,Yes,Yes,3,1069.56,Mecánica Jiménez - Málaga
CLM_00099,POL_05478,CUS_02705,VEH_04356,AGT_00145,2023-03-09 17:32:00,2023-03-23 10:32:00,Policy Holder,Urban,falling object,38.269168,-8.360206,No,Yes,5,1008.47,Chapa y Pintura Ramírez - Bilbao
CLM_00100,POL_04291,CUS_06867,VEH_03215,AGT_00088,2024-07-29 20:32:00,2024-09-08 06:32:00,Policy Holder,Highway,rollover,38.831499,-6.74896,Yes,No,3,1254.02,Garage Martínez - Madrid
CLM_00101,POL_00713,CUS_02495,VEH_06437,AGT_00062,2023-07-21 22:46:00,2023-08-29 01:46:00,Third Party,Urban,side impact,36.978393,-8.110652,Yes,No,6,2561.2,Taller Ramos - Granada
CLM_00102,POL_04117,CUS_00750,VEH_00530,AGT_00095,2023-09-06 21:54:00,2023-10-08 04:54:00,Policy Holder,Suburban,rollover,40.740254,-6.487472,Yes,No,2,4639.99,Garage Ramos - Gijón
CLM_00104,POL_01685,CUS_06411,VEH_00204,AGT_00080,2022-04-25 01:35:00,2022-05-31 06:35:00,Third Party,Rural,fire damage,37.606483,-2.110144,No,No,7,590.1,Carrocerías Díaz - Zaragoza
CLM_00107,POL_00919,CUS_05343,VEH_07289,AGT_00014,2024-07-28 00:39:00,2024-08-31 19:39:00,Policy Holder,Urban,parking damage,38.495274,-2.384067,No,Yes,5,1365.51,Reparaciones Navarro - Elche
CLM_00108,POL_01290,CUS_03799,VEH_07843,AGT_00150,2024-12-08 21:15:00,2025-01-21 05:15:00,Policy Holder,Parking,flooding damage,36.012574,2.392988,No,Yes,6,2608.09,Garage Domínguez - Granada
CLM_00109,POL_07025,CUS_00059,VEH_07646,AGT_00053,2025-08-13 03:17:00,2025-08-17 23:17:00,Third Party,Rural,single vehicle accident,41.897916,-6.975957,Yes,No,0,5008.41,Chapa y Pintura Pérez - Granada
CLM_00110,POL_02214,CUS_04954,VEH_03209,AGT_00033,2022-06-18 03:59:00,2022-06-26 01:59:00,Policy Holder,Urban,vandalism,37.84377,-0.54803,No,Yes,2,3298.7,Chapa y Pintura González - Madrid
CLM_00111,POL_09105,CUS_03803,VEH_04481,AGT_00104,2023-02-14 21:47:00,2023-03-13 22:47:00,Policy Holder,Urban,falling object,37.04229,-3.223293,No,Yes,6,1251.37,Taller Castillo - Bilbao
CLM_00112,POL_01975,CUS_03407,VEH_07614,AGT_00024,2023-06-30 00:02:00,2023-07-27 15:02:00,Third Party,Highway,falling object,38.551701,-6.176222,Yes,No,5,2171.35,Chapa y Pintura Pérez - Madrid
CLM_00113,POL_07881,CUS_07159,VEH_08009,AGT_00025,2024-11-17 15:10:00,2024-12-02 18:10:00,Policy Holder,Urban,rear-end collision,36.776596,-3.40216,No,No,0,4053.37,Garage Ramos - Gijón
CLM_00114,POL_03913,CUS_00786,VEH_04623,AGT_00122,2024-07-27 19:40:00,2024-08-04 07:40:00,Policy Holder,Urban,side impact,37.022257,-8.556811,No,Yes,3,2091.17,Garage Rodríguez - Vigo
CLM_00115,POL_01645,CUS_03352,VEH_08486,AGT_00037,2022-01-14 10:56:00,2022-02-08 13:56:00,Policy Holder,Urban,glass breakage,36.147991,-9.280231,Yes,No,7,147.9,Chapa y Pintura Pérez - Coruña
CLM_00117,POL_02976,CUS_06981,VEH_03036,AGT_00092,2025-07-15 18:29:00,2025-07-27 13:29:00,Third Party,Suburban,weather-related,43.667857,0.784443,No,Yes,0,3495.35,Chapa y Pintura Ruiz - Málaga
CLM_00118,POL_00974,CUS_00979,VEH_01636,AGT_00158,2024-08-22 11:45:00,2024-10-01 10:45:00,Third Party,Urban,rollover,40.984876,0.49764,No,No,1,1446.37,Reparaciones González - Vitoria
CLM_00119,POL_08357,CUS_01522,VEH_02409,AGT_00077,2022-03-02 21:27:00,2022-03-05 21:27:00,Policy Holder,Parking,vandalism,40.93827,-6.726585,No,No,5,3242.04,Carrocerías González - Coruña
CLM_00120,POL_05625,CUS_05761,VEH_08170,AGT_00028,2022-03-12 23:13:00,2022-04-02 11:13:00,Policy Holder,Urban,vandalism,39.290814,-6.628224,Yes,Yes,0,5201.95,Chapa y Pintura Ortiz - Barcelona
CLM_00122,POL_00170,CUS_06366,VEH_06108,AGT_00119,2024-06-07 06:06:00,2024-06-13 07:06:00,Policy Holder,Rural,single vehicle accident,36.633152,1.036235,No,Yes,0,380.59,Garage Molina - Córdoba
CLM_00123,POL_06702,CUS_06802,VEH_06086,AGT_00116,2022-10-18 15:03:00,2022-11-27 19:03:00,Third Party,Highway,flooding damage,43.080771,-2.947892,No,No,5,570.73,Garage Martínez - Coruña
CLM_00124,POL_00952,CUS_06891,VEH_04803,AGT_00105,2022-03-18 16:46:00,2022-05-01 19:46:00,Policy Holder,Suburban,pothole damage,39.48229,-8.296454,Unknown,No,3,909.8,Auto Sánchez - Coruña
CLM_00125,POL_04727,CUS_07077,VEH_00700,AGT_00154,2023-02-04 16:26:00,2023-02-26 14:26:00,Policy Holder,Highway,glass breakage,42.779656,-4.330682,No,No,6,2395.45,Carrocerías Torres - Madrid
CLM_00126,POL_00700,CUS_01421,VEH_05649,AGT_00066,2024-04-30 15:12:00,2024-06-05 09:12:00,Policy Holder,Suburban,parking damage,42.832557,-7.213866,No,No,5,169.05,Reparaciones Castro - Coruña
CLM_00127,POL_03012,CUS_02643,VEH_03980,AGT_00106,2025-02-01 03:10:00,2025-02-14 06:10:00,Third Party,Suburban,theft attempt,43.596491,-4.425513,No,No,1,2229.89,Auto Romero - Hospitalet
CLM_00128,POL_07318,CUS_02592,VEH_04677,AGT_00095,2023-10-03 05:43:00,2023-11-15 05:43:00,Policy Holder,Urban,pothole damage,37.482001,-7.9601,Yes,No,4,2314.37,Carrocerías Gil - Hospitalet
CLM_00129,POL_07216,CUS_05741,VEH_04189,AGT_00029,2022-11-21 18:10:00,2022-11-25 21:10:00,Policy Holder,Suburban,rear-end collision,38.61026,-4.985876,No,No,3,1904.67,Carrocerías García - Palma
CLM_00132,POL_00897,CUS_06318,VEH_08306,AGT_00174,2025-04-03 02:35:00,2025-04-27 03:35:00,Policy Holder,Suburban,pedestrian involved,41.009507,-2.041006,Yes,No,5,1771.64,Chapa y Pintura Navarro - Murcia
CLM_00133,POL_07586,CUS_00376,VEH_07568,AGT_00179,2022-03-12 18:28:00,2022-04-13 08:28:00,Third Party,Urban,multi-vehicle pileup,41.270666,0.553784,No,No,4,1483.42,Mecánica Suárez - Gijón
CLM_00134,POL_00328,CUS_02076,VEH_03713,AGT_00093,2024-04-24 11:19:00,2024-06-05 23:19:00,Policy Holder,Rural,frontal collision,37.696155,-8.296497,Yes,No,5,1603.55,Taller Núñez - Elche
CLM_00136,POL_08902,CUS_01389,VEH_03459,AGT_00027,2025-03-27 12:22:00,2025-04-18 06:22:00,Policy Holder,Rural,side impact,42.099663,-7.50718,Yes,No,1,1303.74,Chapa y Pintura Molina - Vitoria
CLM_00137,POL_04648,CUS_00592,VEH_02523,AGT_00037,2024-10-01 17:42:00,2024-10-07 04:42:00,Policy Holder,Suburban,rollover,37.763745,-4.677192,Yes,Yes,5,1617.96,Chapa y Pintura Vázquez - Zaragoza
CLM_00138,POL_01606,CUS_04192,VEH_00730,AGT_00016,2024-04-28 02:25:00,2024-04-29 22:25:00,Policy Holder,Parking,animal collision,40.791462,0.550565,Yes,Yes,5,5280.19,Auto Ramos - Hospitalet
CLM_00139,POL_03957,CUS_03077,VEH_01900,AGT_00113,2024-08-06 15:16:00,2024-09-12 01:16:00,Third Party,Urban,parking damage,42.930694,-0.881459,Yes,No,5,1143.71,Carrocerías González - Coruña
CLM_00141,POL_07384,CUS_04558,VEH_05438,AGT_00114,2024-04-27 19:29:00,2024-05-25 04:29:00,Policy Holder,Urban,weather-related,40.714613,0.82239,Unknown,Yes,1,922.3,Auto Castro - Hospitalet
CLM_00142,POL_02521,CUS_05762,VEH_05134,AGT_00056,2024-11-20 01:35:00,2024-12-26 03:35:00,Policy Holder,Parking,glass breakage,43.609087,-4.772913,No,Yes,1,578.03,Garage Iglesias - Gijón
CLM_00143,POL_02391,CUS_00193,VEH_01749,AGT_00041,2022-08-22 06:16:00,2022-09-19 05:16:00,Policy Holder,Urban,bicycle involved,37.902824,0.685178,No,Unknown,7,2625.44,Auto Jiménez - Alicante
CLM_00144,POL_05086,CUS_04812,VEH_04106,AGT_00166,2025-02-21 06:42:00,2025-04-05 14:42:00,Third Party,Urban,mechanical failure,37.625975,-9.198056,No,No,3,3558.56,Carrocerías Moreno - Madrid
CLM_00145,POL_08788,CUS_04349,VEH_01919,AGT_00109,2024-04-19 19:44:00,2024-05-12 13:44:00,Third Party,Parking,mechanical failure,39.729267,0.892199,No,No,0,1721.36,Chapa y Pintura Díaz - Zaragoza
CLM_00147,POL_02534,CUS_05635,VEH_04762,AGT_00033,2025-04-14 03:29:00,2025-04-16 00:29:00,Policy Holder,Urban,multi-vehicle pileup,39.361596,-2.188851,Yes,Yes,1,3094.53,Reparaciones Núñez - Zaragoza
CLM_00148,POL_01179,CUS_01030,VEH_02706,AGT_00164,2022-09-01 11:40:00,2022-09-02 02:40:00,Policy Holder,Rural,flooding damage,40.875041,2.309814,No,No,4,683.21,Carrocerías Gil - Hospitalet
CLM_00149,POL_08953,CUS_01458,VEH_00074,AGT_00154,2023-12-14 09:37:00,2024-01-22 22:37:00,Policy Holder,Suburban,frontal collision,36.170703,-3.051167,No,Yes,7,1071.73,Carrocerías Torres - Madrid
CLM_00150,POL_05773,CUS_03331,VEH_02829,AGT_00177,2022-04-16 08:21:00,2022-05-04 19:21:00,Policy Holder,Urban,rollover,36.575741,1.571839,No,No,7,1623.91,Chapa y Pintura Gil - Sevilla
