vehicle_id,policy_id,license_plate,make,model,manufacture_year,vehicle_category,purchase_price_eur,color,odometer_km,driver_rating
VEH_00054,POL_04831,4230 HBL,Land Rover,Defender,2023,Sedan,29561.71,Azul,244198,1
VEH_00055,POL_03429,8522 NBH,Jeep,Compass,2008,Sedan,44658.18,Gris,200820,4
VEH_00056,POL_03274,1195 DNB,Citroën,Berlingo,2019,SUV,8467.82,Plata,268931,2
VEH_00057,POL_08404,3215 ZMZ,Land Rover,Evoque,2015,Sedan,42486.0,Plata,74997,1
VEH_00058,POL_05518,0893 PNT,Renault,Megane,2005,Sedan,18659.17,Negro,87069,4
VEH_00059,POL_02899,3393 PBL,Mercedes-Benz,GLE,2005,Coupe,18470.79,Amarillo,156800,1
VEH_00060,POL_09477,9419 YGL,Porsche,Panamera,2013,Van,22253.01,Rojo,184763,3
VEH_00061,POL_09161,8040 RMD,Mitsubishi,Space Star,2018,Sedan,6220.57,Beige,273826,3
VEH_00062,POL_04994,3166 CGW,Mazda,Mazda6,2022,Utility,10033.18,Blanco,110610,2
VEH_00063,POL_07377,7104 TLT,Land Rover,Discovery,2023,SUV,7438.83,Blanco,198591,2
VEH_00064,POL_08494,2979 XTX,Kia,Niro,2019,Sedan,9482.76,Verde,231715,3
VEH_00065,POL_05913,9934 DWL,BMW,Z4,2022,Sedan,10912.21,Blanco,181940,3
VEH_00069,POL_08032,8014 GYW,Fiat,500,2016,Utility,14904.06,Marrón,162026,1
VEH_00070,POL_01213,8936 RFR,Mazda,Mazda3,2007,Sedan,35071.99,Negro,161662,1
VEH_00072,POL_06057,0902 XBZ,SEAT,Ateca,2020,Sedan,35142.1,Negro,225261,2
VEH_00076,POL_05419,6985 WGK,Toyota,C-HR,2022,Coupe,14072.64,Azul,60952,1
VEH_00077,POL_00381,4739 SYS,Fiat,500,2008,SUV,27207.85,Blanco,169600,1
VEH_00078,POL_01068,4304 WFH,Fiat,500,2008,SUV,3826.83,Marrón,51196,1
VEH_00079,POL_08836,9947 FSF,BMW,Serie 1,2010,SUV,14379.75,Plata,125460,2
VEH_00080,POL_06736,7009 WYL,Chevrolet,Equinox,2005,Sedan,59582.86,Negro,252093,1
VEH_00081,POL_02896,2019 SDC,Land Rover,Evoque,2007,Sedan,9490.01,Negro,199028,2
VEH_00082,POL_05399,7502 RRJ,Skoda,Octavia,2014,Sedan,12773.79,Gris,236630,2
VEH_00083,POL_01021,3382 KJT,Citroën,C3,2014,SUV,13577.42,Negro,244944,1
VEH_00084,POL_06541,4239 KZB,Kia,Niro,2021,SUV,34625.03,Gris,52877,2
VEH_00085,POL_02235,4812 LWT,Nissan,Navara,2023,Sedan,10075.74,Negro,276043,1
VEH_00088,POL_02270,9112 CSY,Mercedes-Benz,Clase C,2015,Sedan,4906.14,Negro,147791,2
VEH_00089,POL_05726,5775 YJY,Skoda,Fabia,2009,Utility,10744.77,Blanco,279924,2
VEH_00090,POL_06895,5516 MGV,Volkswagen,Polo,2022,Sedan,34280.46,Blanco,279380,2
VEH_00091,POL_01201,6777 DVK,Hyundai,Santa Fe,2010,SUV,25529.08,Negro,51827,4
VEH_00092,POL_00995,9567 TKD,Kia,Niro,2005,Sedan,50960.5,Blanco,132491,2
VEH_00093,POL_00184,3018 JTH,Subaru,Legacy,2018,SUV,10162.89,Rojo,106636,4
VEH_00096,POL_07843,6150 VYV,SEAT,Ateca,2005,Sedan,19358.78,Blanco,188053,3
VEH_00098,POL_03361,1006 GBM,Land Rover,Defender,2020,Sport,55791.61,Gris,32630,4
VEH_00099,POL_07748,0037 HND,Jaguar,XF,2010,Utility,16022.11,Plata,262510,1
VEH_00101,POL_09466,9330 LVN,Honda,Accord,2014,SUV,12870.01,Rojo,269185,3
VEH_00102,POL_04572,0886 KMJ,Suzuki,Vitara,2020,Coupe,15386.47,Blanco,29068,3
VEH_00103,POL_01663,5607 VHB,Ford,Mustang,2012,Sport,14243.84,Beige,19605,2
VEH_00104,POL_08841,4957 WFV,Nissan,X-Trail,2024,SUV,9617.38,Blanco,23691,2
VEH_00106,POL_01140,4226 TRK,Toyota,Auris,2012,Utility,8998.06,Plata,182820,2
VEH_00107,POL_07047,8035 YPR,Toyota,Camry,2019,Sedan,18814.16,Blanco,197050,2
VEH_00109,POL_00217,6786 DFN,Mercedes-Benz,GLC,2009,SUV,36444.9,Rojo,118609,1
VEH_00110,POL_00710,3396 MZZ,Dacia,Jogger,2007,Sport,8029.42,Blanco,172234,2
VEH_00112,POL_00484,0646 HYT,Volkswagen,ID.4,2018,Sport,18028.59,Blanco,40012,2
VEH_00114,POL_04877,5777 LGP,Subaru,Forester,2006,Utility,47870.6,Plata,177422,2
VEH_00115,POL_07442,8276 XBG,Volkswagen,ID.4,2015,SUV,69582.64,Verde,257153,2
VEH_00117,POL_08618,3206 BLG,Dacia,Spring,2015,Sport,19941.52,Plata,154974,1
VEH_00118,POL_02540,0992 XGS,Audi,Q5,2020,Utility,11548.28,Plata,145422,2
VEH_00119,POL_01768,3361 MKB,Opel,Mokka,2005,Sedan,79556.82,Negro,258398,2
VEH_00120,POL_09312,7779 JPH,Chevrolet,Malibu,2016,Sport,16673.78,Blanco,138140,3
VEH_00121,POL_01005,3637 NXF,Volvo,V60,2007,Sport,23814.28,Rojo,43668,1
VEH_00122,POL_04983,6128 MNZ,Mercedes-Benz,Clase A,2009,Sport,40018.07,Verde,225858,1
VEH_00123,POL_01379,7227 NNY,Jeep,Compass,2005,SUV,17791.24,Gris,161762,2
VEH_00124,POL_05147,2771 NRL,BMW,X5,2011,Sedan,20791.92,Plata,222700,2
VEH_00125,POL_03284,9454 JVL,Kia,Stonic,2018,Sedan,6770.34,Negro,127425,3
VEH_00126,POL_01652,2521 LCH,Mitsubishi,Space Star,2024,Sedan,23246.64,Negro,156163,3
VEH_00127,POL_01483,7631 TMS,Jaguar,I-Pace,2008,Coupe,42281.67,Blanco,2365,3
VEH_00128,POL_06550,1024 LHB,SEAT,Ateca,2013,Sedan,54795.0,Blanco,204518,1
VEH_00129,POL_04833,9354 GLZ,Toyota,Auris,2009,SUV,16356.2,Marrón,224302,1
VEH_00130,POL_00978,1709 BBY,Chevrolet,Spark,2006,Sedan,41694.39,Plata,38897,3
VEH_00131,POL_07238,4189 TGF,Audi,A4,2006,SUV,25791.03,Negro,7325,1
VEH_00132,POL_04859,2545 FVX,Opel,Crossland,2024,Utility,35248.04,Verde,235875,1
VEH_00133,POL_04735,0852 VLL,Jaguar,F-Pace,2011,Sedan,27485.76,Blanco,72659,2
VEH_00134,POL_04725,2763 RGC,Dacia,Sandero,2010,Van,22309.65,Rojo,47056,3
VEH_00135,POL_02445,4481 NXZ,Fiat,500,2012,SUV,12872.0,Blanco,59060,4
VEH_00136,POL_03724,9062 DFL,Suzuki,Swift,2021,SUV,20268.78,Gris,252691,4
VEH_00137,POL_08452,0916 PYC,Jeep,Cherokee,2007,Sedan,11979.7,Negro,183081,1
VEH_00138,POL_08791,5075 ZPB,Dacia,Logan,2019,Sedan,13566.3,Azul,123749,2
VEH_00139,POL_03756,5193 SXD,Peugeot,5008,2023,Sedan,8205.81,Naranja,188436,1
VEH_00141,POL_08872,7920 YPG,Honda,Fit,2024,Sedan,5776.71,Gris,182522,3
VEH_00142,POL_02833,6476 ZHZ,Ford,Mondeo,2010,Coupe,14322.29,Plata,40212,1
VEH_00143,POL_06410,3172 NRS,Porsche,911,2023,SUV,18163.15,Rojo,85972,2
VEH_00144,POL_02198,7609 XLN,Volvo,XC90,2014,Sedan,30618.27,Beige,237379,3
VEH_00145,POL_00591,8159 ZYH,Skoda,Fabia,2005,SUV,10539.57,Beige,259244,2
VEH_00146,POL_05577,6047 YVJ,Lexus,IS,2024,Sedan,8647.83,Plata,267279,3
VEH_00147,POL_06599,0715 KFL,Dacia,Sandero,2022,SUV,22248.94,Negro,232520,2
VEH_00148,POL_07211,5269 LJR,Dacia,Spring,2023,Sport,11846.05,Gris,65048,3
VEH_00149,POL_08692,8642 HDK,Chevrolet,Trax,2014,Sport,18924.57,Blanco,228857,3
VEH_00150,POL_00079,7118 NHH,Toyota,Hilux,2014,Coupe,13630.89,Blanco,273251,1
VEH_00151,POL_06129,3879 YFD,Fiat,Tipo,2012,Sport,9319.74,Naranja,65502,3
VEH_00152,POL_03900,5884 JDX,Dacia,Sandero,2015,Utility,6496.8,Gris,203128,1
VEH_00153,POL_01368,1933 YGN,Suzuki,S-Cross,2013,Sport,4462.97,Plata,245532,3
VEH_00155,POL_08004,3026 YFY,Nissan,Micra,2021,Utility,32757.06,Gris,278458,3
VEH_00156,POL_07594,8444 SKB,Peugeot,508,2011,SUV,8910.9,Blanco,37974,2
VEH_00157,POL_06264,3472 TVB,Alfa Romeo,Giulietta,2014,Sedan,6042.06,Negro,202529,1
VEH_00158,POL_00582,6817 XBB,Peugeot,2008,2009,SUV,32527.21,Negro,109190,1
VEH_00159,POL_07566,1049 TVM,Dacia,Spring,2016,Sport,12501.8,Rojo,144227,2
VEH_00160,POL_05357,4746 MXF,Lexus,NX,2013,SUV,18162.51,Blanco,78579,1
VEH_00161,POL_08951,0260 CPL,Peugeot,3008,2024,Sedan,19202.27,Gris,260562,3
VEH_00164,POL_03103,5207 LBP,Suzuki,Swift,2011,Sedan,13052.6,Blanco,125454,3
VEH_00165,POL_06552,6730 LWC,Mazda,CX-5,2020,Sedan,20560.63,Negro,138407,1
VEH_00167,POL_09190,7544 YBY,Ford,Fiesta,2013,Coupe,20392.9,Marrón,134696,2
VEH_00168,POL_02738,8589 DXR,Mazda,Mazda3,2018,Sedan,18747.56,Azul,107618,3
VEH_00169,POL_00506,8366 PMC,SEAT,Ateca,2007,Van,23378.78,Negro,260817,2
VEH_00172,POL_07416,4006 GDN,Citroën,C3 Aircross,2023,SUV,15914.62,Azul,202704,1
VEH_00173,POL_09043,7326 MVB,Skoda,Superb,2015,SUV,15215.55,Blanco,244159,1
VEH_00175,POL_05881,4184 JHW,Ford,Puma,2011,SUV,34200.76,Negro,34628,3
VEH_00176,POL_01005,7777 KXJ,Mercedes-Benz,Clase C,2010,Utility,12343.78,Azul,185363,1
VEH_00177,POL_09471,5291 SZT,Mitsubishi,L200,2013,Sedan,10355.41,Negro,229193,3
VEH_00178,POL_06718,9084 VKH,Land Rover,Evoque,2005,Van,17964.89,Verde,66748,1
VEH_00180,POL_07169,5143 PCK,Citroën,Berlingo,2012,Sedan,11848.76,Rojo,188404,3
VEH_00181,POL_01115,9741 SXM,Suzuki,Ignis,2014,SUV,23482.93,Rojo,47912,3
VEH_00182,POL_04903,7669 YMM,BMW,Z4,2019,Utility,22682.63,Negro,156152,3
VEH_00183,POL_05098,4187 XHJ,Skoda,Octavia,2018,SUV,33408.36,Blanco,78652,3
VEH_00184,POL_04328,7437 FRR,Mazda,CX-3,2009,Sedan,10469.81,Blanco,271076,3
VEH_00185,POL_02387,4018 KFL,Renault,Scenic,2016,Sedan,28457.66,Blanco,177352,2
VEH_00186,POL_02357,1813 ZRP,Toyota,Yaris,2022,Sedan,32385.77,Blanco,141607,1
VEH_00187,POL_04489,6186 NCK,Skoda,Superb,2021,Sedan,28764.58,Plata,133811,4
VEH_00188,POL_05846,6037 DRZ,Skoda,Superb,2023,Van,31362.93,Gris,129239,3
VEH_00189,POL_08021,3649 XFM,Ford,Kuga,2008,SUV,11849.0,Blanco,18526,2
VEH_00190,POL_06837,2528 ZCZ,SEAT,Arona,2013,Utility,23063.07,Negro,169421,2
VEH_00191,POL_03149,4856 NCG,Chevrolet,Trax,2008,Sedan,5416.74,Rojo,250445,4
VEH_00192,POL_08482,2762 KYZ,Nissan,Leaf,2015,Sport,18637.07,Marrón,156333,1
VEH_00193,POL_04295,4549 MRH,Nissan,Leaf,2011,Utility,58386.26,Rojo,73362,2
VEH_00194,POL_01356,5310 TWK,Ford,Mondeo,2014,SUV,6239.29,Rojo,41583,4
VEH_00196,POL_00017,5884 BTJ,Nissan,Qashqai,2006,Sedan,12707.41,Negro,218248,2
VEH_00197,POL_08032,0920 MKP,Mercedes-Benz,Clase E,2024,Sedan,71886.16,Gris,213477,2
VEH_00198,POL_00454,2828 KJK,Nissan,Navara,2021,Sedan,35097.39,Blanco,159203,2
VEH_00200,POL_03176,3437 MMN,Mazda,Mazda3,2019,Sedan,17940.27,Rojo,25200,2
VEH_00201,POL_07610,4874 BNK,Hyundai,Santa Fe,2015,SUV,29069.33,Blanco,203208,1
VEH_00202,POL_05758,1231 ZCX,Nissan,Juke,2018,SUV,20436.88,Azul,199244,3
VEH_00203,POL_02081,1353 HMP,Fiat,Punto,2022,Sedan,13797.07,Verde,27562,3
VEH_00204,POL_03338,1178 KZN,Kia,Stonic,2006,SUV,12398.22,Azul,221051,1
VEH_00205,POL_07836,5516 ZBC,Volkswagen,Tiguan,2007,Utility,39672.56,Gris,165352,1
VEH_00208,POL_05363,2322 FJT,Opel,Mokka,2022,Sedan,40675.31,Azul,69219,3
VEH_00209,POL_05682,5843 TRN,Lexus,NX,2008,Van,35333.72,Gris,97444,2
VEH_00212,POL_02896,0678 MFX,Volkswagen,Golf,2023,Sedan,17950.2,Gris,223739,2
VEH_00213,POL_09444,5098 RZB,Hyundai,Santa Fe,2015,Sedan,37979.73,Rojo,207658,3
VEH_00214,POL_07258,3479 HCX,Porsche,Panamera,2012,Sedan,16565.37,Blanco,252981,3
VEH_00215,POL_08100,1479 DCD,SEAT,Ateca,2022,Sedan,27037.85,Plata,40993,3
VEH_00216,POL_00004,4446 JCW,Honda,Civic,2015,Sport,25246.28,Negro,131921,3
VEH_00217,POL_08593,3226 MSP,Land Rover,Evoque,2007,Sport,25682.76,Verde,68651,1
VEH_00218,POL_09263,0674 VGV,Volkswagen,Touareg,2024,Utility,24192.43,Plata,224734,3
VEH_00219,POL_00432,3659 BPX,Subaru,Impreza,2018,Sedan,26097.85,Beige,253736,2
VEH_00221,POL_07680,1310 FRD,Nissan,Qashqai,2010,Sedan,27958.99,Blanco,279974,2
VEH_00223,POL_01976,7274 SNH,Subaru,XV,2018,Sedan,29709.08,Verde,241758,1
VEH_00224,POL_05039,8049 KBN,Porsche,Taycan,2024,Sport,13117.39,Blanco,68960,2
VEH_00225,POL_04642,0826 TCN,Mercedes-Benz,CLA,2008,Sedan,10915.48,Negro,179622,1
VEH_00226,POL_04137,1205 JHM,Hyundai,i30,2020,Sport,22705.13,Negro,14114,2
VEH_00227,POL_01958,9311 VKM,Alfa Romeo,Giulietta,2024,Utility,41560.78,Negro,9832,3
VEH_00228,POL_06274,7293 PDZ,Mercedes-Benz,Clase A,2022,Sport,21903.75,Plata,54087,1
VEH_00231,POL_04068,8491 XCH,Peugeot,208,2017,Sport,19300.12,Blanco,181541,4
VEH_00233,POL_02326,3638 JYP,Suzuki,Ignis,2018,SUV,30105.92,Rojo,226117,4
VEH_00234,POL_07474,2120 YBB,Audi,A1,2016,Sport,28457.64,Azul,88445,2
VEH_00235,POL_03235,8636 SYY,Peugeot,508,2023,Sedan,14984.89,Blanco,115146,1
VEH_00237,POL_03304,7352 WJX,Volvo,S60,2006,Van,21176.0,Blanco,115798,3
VEH_00238,POL_05830,5970 FDB,Mercedes-Benz,GLC,2024,Utility,16216.23,Azul,781,2
VEH_00239,POL_06983,2535 TKZ,Opel,Grandland,2022,Van,52012.08,Azul,7190,3
VEH_00241,POL_05123,7118 KXF,Opel,Mokka,2020,Utility,8510.6,Beige,237480,2
VEH_00242,POL_01474,4139 KMH,Dacia,Jogger,2019,Sedan,12714.2,Plata,257465,2
VEH_00243,POL_07045,0324 YBD,Fiat,Punto,2012,Coupe,12704.2,Gris,249858,2
VEH_00244,POL_05208,4892 BZW,Lexus,IS,2011,Utility,19991.07,Gris,259575,1
VEH_00245,POL_05811,4893 HNL,Mazda,Mazda2,2018,Coupe,11536.51,Negro,126299,4
VEH_00246,POL_01598,1235 NGX,Alfa Romeo,Giulia,2016,Van,14690.21,Azul,80243,1
VEH_00247,POL_04714,8550 YKW,Volkswagen,Passat,2023,Sedan,13802.84,Rojo,96289,2
VEH_00248,POL_07047,1798 RNX,Subaru,Forester,2005,Sedan,17376.77,Rojo,80553,2
VEH_00249,POL_02909,7131 PSF,Ford,Kuga,2007,Sedan,25202.38,Blanco,81503,1
VEH_00250,POL_00720,1164 KPY,Subaru,Outback,2019,Van,17864.06,Negro,158053,3
VEH_00251,POL_04008,1933 NFW,Audi,A1,2006,Utility,26134.83,Azul,48256,1
VEH_00252,POL_07529,1994 HBJ,Fiat,Punto,2008,Sedan,38565.56,Rojo,40822,1
VEH_00253,POL_03306,9090 RWR,Ford,Mustang,2013,Van,27497.69,Azul,98528,1
VEH_00254,POL_05392,2384 NPG,Kia,Rio,2019,SUV,3995.58,Verde,91488,2
VEH_00255,POL_05771,1969 RZZ,Honda,CR-V,2015,Sport,20595.49,Negro,219652,3
VEH_00256,POL_06733,9107 CPK,Kia,Sportage,2019,Sedan,22390.19,Negro,154126,2
VEH_00257,POL_03464,4289 YZD,Mercedes-Benz,GLE,2019,Coupe,56373.94,Blanco,236283,3
VEH_00259,POL_04371,8218 GDZ,Peugeot,5008,2016,SUV,7167.12,Negro,229293,3
VEH_00260,POL_02188,2736 PRL,Volvo,V60,2009,Coupe,12371.05,Rojo,199577,1
VEH_00261,POL_01415,3338 JVH,SEAT,Ateca,2005,SUV,14959.84,Naranja,224083,2
VEH_00262,POL_01402,8868 NYC,BMW,X5,2009,Utility,12143.26,Negro,132047,3
VEH_00263,POL_05642,1343 ZNV,Peugeot,2008,2014,SUV,17560.14,Rojo,148676,3
VEH_00265,POL_06463,9187 KYZ,Skoda,Fabia,2010,Sedan,21904.47,Blanco,20778,2
VEH_00266,POL_07081,6169 MKX,Toyota,Hilux,2023,Sport,13646.89,Gris,78410,1
VEH_00267,POL_07955,8202 CZP,Subaru,XV,2023,Coupe,33089.7,Negro,133491,1
VEH_00268,POL_08935,8935 LZX,Skoda,Superb,2008,Utility,25621.95,Rojo,158873,2
VEH_00270,POL_00197,9145 DMV,Hyundai,Tucson,2011,SUV,7197.71,Blanco,245521,4
VEH_00271,POL_07219,6949 DRC,Volvo,XC90,2017,SUV,23978.25,Blanco,251509,1
VEH_00275,POL_05313,7949 VRX,Kia,Stonic,2014,Coupe,25684.03,Rojo,35784,1
VEH_00276,POL_07236,8796 THV,Mitsubishi,Eclipse Cross,2005,Coupe,52649.62,Verde,21234,3
VEH_00277,POL_06543,2390 RCR,Honda,HR-V,2013,Utility,17522.5,Plata,57819,4
VEH_00278,POL_01540,4411 DYP,Subaru,Outback,2018,Sport,27423.06,Azul,141377,1
VEH_00281,POL_07976,7932 WXN,BMW,X5,2018,Utility,15142.74,Plata,134454,2
VEH_00282,POL_06255,8892 CZT,Fiat,500,2021,Utility,17862.92,Amarillo,7133,1
VEH_00283,POL_08045,5854 BBS,Mitsubishi,Eclipse Cross,2020,Utility,74151.5,Plata,942,3
VEH_00285,POL_07152,8593 JGR,Volkswagen,Tiguan,2006,Utility,20111.1,Rojo,268196,2
VEH_00286,POL_06950,1535 DRJ,Toyota,Camry,2005,Sedan,8251.24,Negro,160286,3
VEH_00287,POL_00158,2104 TWN,Mazda,MX-5,2019,Van,31740.33,Azul,240837,3
VEH_00289,POL_06775,2690 VNR,Lexus,LC,2016,SUV,14390.83,Gris,216120,4
VEH_00290,POL_01590,9986 SKP,Chevrolet,Spark,2011,Sedan,20702.16,Rojo,148664,2
VEH_00291,POL_05561,6672 MYY,Skoda,Kodiaq,2019,SUV,44808.38,Plata,271264,2
VEH_00292,POL_03845,3778 NTX,Volkswagen,Polo,2009,Sedan,33372.77,Blanco,269885,4
VEH_00293,POL_01051,6481 JRH,Mercedes-Benz,Clase E,2007,Sedan,6054.71,Blanco,270011,2
VEH_00294,POL_02995,3400 KMT,Citroën,C5 Aircross,2009,Utility,35308.75,Beige,127062,3
VEH_00296,POL_01860,3501 RVT,Opel,Mokka,2018,Sedan,36294.34,Gris,43277,2
VEH_00297,POL_04852,8604 FGW,Fiat,Tipo,2005,Utility,22234.95,Blanco,130287,1
VEH_00298,POL_09328,7103 MRW,Mazda,Mazda6,2015,Sedan,7685.79,Gris,138735,2
VEH_00299,POL_01365,4529 LBN,Jeep,Compass,2023,Utility,14387.73,Rojo,266158,2
VEH_00300,POL_03607,5295 LCC,BMW,Serie 3,2020,Sport,10885.61,Gris,97487,2
VEH_00302,POL_00937,2858 JRV,Ford,EcoSport,2006,Sedan,16755.03,Gris,239238,3
VEH_00303,POL_03423,4185 XJL,Nissan,Micra,2006,Van,22457.83,Verde,243353,4
VEH_00305,POL_07396,7696 DVD,Mitsubishi,Eclipse Cross,2018,Sedan,188022.01,Blanco,238933,2
VEH_00307,POL_01969,6392 MMY,Subaru,Forester,2009,Coupe,27198.35,Gris,37747,2
VEH_00308,POL_07841,3633 CPS,Subaru,Legacy,2020,Sport,11629.65,Negro,228134,3
VEH_00309,POL_07301,4473 LMV,Suzuki,Jimny,2011,Sport,4861.57,Beige,222448,2
VEH_00310,POL_02833,4910 PNT,Subaru,Outback,2006,Van,15247.27,Blanco,135447,2
VEH_00311,POL_09283,1042 MXX,SEAT,Tarraco,2024,Utility,11509.79,Blanco,8031,1
VEH_00312,POL_01888,5036 JKY,BMW,X3,2019,Sedan,31643.65,Blanco,227893,1
VEH_00313,POL_04727,7368 SZC,Subaru,Forester,2021,Sedan,20564.83,Blanco,197162,1
VEH_00314,POL_07492,3344 MBG,Alfa Romeo,Stelvio,2016,Sport,9190.15,Plata,186348,2
VEH_00315,POL_08997,2573 BTJ,SEAT,Tarraco,2015,Sedan,17639.83,Rojo,82228,3
VEH_00317,POL_07613,8946 JKP,Subaru,Forester,2022,Sport,23861.74,Verde,260687,1
VEH_00318,POL_01492,1933 TRW,Mitsubishi,Eclipse Cross,2019,Van,14622.3,Blanco,262417,2
VEH_00319,POL_01634,7912 DNT,Mercedes-Benz,GLE,2018,SUV,38250.04,Rojo,173639,2
VEH_00320,POL_00953,9834 JPZ,Dacia,Spring,2005,Sedan,30960.28,Azul,271185,2
VEH_00321,POL_02004,5009 XWX,Mitsubishi,Outlander,2013,SUV,9337.03,Beige,52174,4
VEH_00322,POL_02520,5145 FDC,Renault,Clio,2012,Coupe,9113.43,Gris,24861,2
VEH_00324,POL_05125,4156 RZX,Mazda,Mazda6,2008,Utility,8289.0,Blanco,87783,1
VEH_00325,POL_00554,4411 CGN,Lexus,ES,2011,Sport,23643.1,Blanco,253363,2
VEH_00327,POL_03811,6366 CYV,Suzuki,S-Cross,2010,Utility,38229.46,Blanco,30440,4
VEH_00328,POL_08533,7278 PCC,Dacia,Spring,2017,Utility,18354.41,Plata,260379,2
VEH_00329,POL_05516,3116 WNV,Ford,Focus,2020,SUV,25257.52,Rojo,8849,1
VEH_00331,POL_02825,8344 SXB,Alfa Romeo,MiTo,2019,Coupe,4344.03,Rojo,8127,2
VEH_00332,POL_01860,4242 RHN,Ford,Kuga,2012,Sedan,10132.97,Blanco,215377,2
VEH_00333,POL_09085,0120 BKM,Skoda,Karoq,2023,Sport,19865.05,Negro,190019,3
VEH_00334,POL_06733,2610 NZS,Hyundai,i20,2023,Utility,25837.76,Plata,24814,3
VEH_00335,POL_02555,5082 CCX,Subaru,Forester,2021,Van,11684.01,Blanco,103849,1
VEH_00336,POL_00596,1580 RNM,Volkswagen,Passat,2013,Sport,4659.94,Negro,50805,4
VEH_00337,POL_05727,2684 BTH,Fiat,500,2023,Sport,20103.23,Blanco,170694,2
